Name,Status,Release Year,Programming Language(s),Categories,URL (Original),URL (Wayback Archive),Wayback Preserved,Author,Catalog Section
TIMER,archived,2001,,clock-dating; distance,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,"Galina Glazko, now",Distance matrix and computation programs
TipDate,dead,2000,,clock-dating; likelihood,http://microbe.bio.indiana.edu:7131/soft/iubionew/molbio/evolution/evolve/TipDate/,,No,Andrew Rambaut,Maximum likelihood and Bayesian programs
TNT,archived,2007,,parsimony,http://www.zmuc.dk/public/phylogeny/TNT,http://web.archive.org/web/20200120175045/http://www.zmuc.dk:80/public/phylogeny/tnt/,Yes,Pablo Goloboff,Parsimony programs
TOPALi,dead,2004,Java,recombination; utility,http://www.topali.org,,No,"Iain Milne, Dominik Lindner, and Frank Wright",Maximum likelihood and Bayesian programs
TopD/fMts,dead,2007,Perl,consensus; gene-duplication; genomics,http://genomes.urv.es/topd/,,No,Pere Puigbò Avalos,"Tree visualization, simulation, and other programs"
Tracer,dormant,,Java,bayesian; bootstrap; tree-comparison,http://tree.bio.ed.ac.uk/software/tracer/,,No,Alexei Drummond,Maximum likelihood and Bayesian programs
Tree Draw Deck,unknown,,,tree-visualization,,,No,Don Gilbert,"Tree visualization, simulation, and other programs"
Tree Tracker,archived,2007,Perl,gene-duplication; genomics,http://www.uv.es/~genomica/treetracker/,http://web.archive.org/web/20231118040316/https://www.uv.es/~genomica/treetracker/,Yes,Antonio Marco and Ignacio Marín,Maximum likelihood and Bayesian programs
TREE-PUZZLE,dormant,1996,C,distance; likelihood; quartets,http://www.tree-puzzle.de,,No,Heiko Schmidt,Maximum likelihood and Bayesian programs
TreeAlign,unknown,1973,C,alignment,,,No,Jotun Hein,Maximum likelihood and Bayesian programs
TREECON,dormant,1993,,distance; tree-visualization,http://bioinformatics.psb.ugent.be/software_details.php?id=3,,No,TREECON version 1.3b is a software package developed by Yves Van de Peer,Distance matrix and computation programs
TreeDis,dead,,,comparative-methods,http://www.rsbs.anu.edu.au/Products&Services/BiotechnologyTransferUnit/tredis.php,,No,Georg Weiller ,"Tree visualization, simulation, and other programs"
TreeDyn,archived,2006,,tree-visualization,http://www.treedyn.org/,http://web.archive.org/web/20230306144913/http://www.treedyn.org/,Yes,François Chevenet and colleagues,"Tree visualization, simulation, and other programs"
TreeEdit,dormant,,,clock-dating; tree-visualization,http://tree.bio.ed.ac.uk/software/treeedit/,,No,Andrew Rambaut,"Tree visualization, simulation, and other programs"
TreeExplorer,dead,,,tree-visualization,http://evolgen.biol.metro-u.ac.jp/TE/TE_man.html,http://web.archive.org/web/20110815224229/http://evolgen.biol.metro-u.ac.jp/TE/TE_man.html,Yes,Koichiro Tamura,"Tree visualization, simulation, and other programs"
Treefinder,dormant,2004,Java,bootstrap; clock-dating; consensus; likelihood; simulation; tree-visualization,http://www.treefinder.de,,No,Gangolf Jobb,Maximum likelihood and Bayesian programs
TreeFit,archived,2007,,clock-dating; distance,http://www.montana.edu/kalinowski/Software/TreeFit.htm,http://web.archive.org/web/20170512233646/http://www.montana.edu:80/kalinowski/Software/TreeFit.htm,Yes,Steven Kalinowski,Distance matrix and computation programs
TreeFitter,archived,,,biogeography; host-parasite,http://www.ebc.uu.se/systzoo/research/treefitter/treefitter.html,http://web.archive.org/web/20100418162835/http://www.ebc.uu.se:80/systzoo/research/treefitter/treefitter.html,Yes,Fredrik Ronquist,Maximum likelihood and Bayesian programs
TreeGraph 2,unknown,,,tree-visualization,,,No,,"Tree visualization, simulation, and other programs"
TreeJuxtaposer,archived,2003,Java,tree-visualization,http://olduvai.sourceforge.net/tj/index.shtml,http://web.archive.org/web/20241225120520/https://olduvai.sourceforge.net/tj/index.shtml,Yes,Tamara Munzer,"Tree visualization, simulation, and other programs"
TreeMaker,dormant,2005,C,tree-visualization,http://www.agapow.net/software/treemaker,,No,Paul Michael Agapow ,"Tree visualization, simulation, and other programs"
TREEMAP,dead,1994,Java,biogeography; consensus; host-parasite,http://www.it.usyd.edu.au/~mcharles/software/treemap/treemap3.html,,No,Rod Page,Maximum likelihood and Bayesian programs
TreeMe,dead,,,tree-visualization,http://www.sequentix.de/software_treeme.php,http://web.archive.org/web/20221201203814/https://www.sequentix.de/software_treeme.php,Yes,Dominik Hepperle,"Tree visualization, simulation, and other programs"
TreeRogue,dead,,,general-purpose,https://stat.ethz.ch/pipermail/r-sig-phylo/2010-October/000816.html,http://web.archive.org/web/20130121112050/https://stat.ethz.ch/pipermail/r-sig-phylo/2010-October/000816.html,Yes,,
TreeRot,dormant,1997,Perl,bootstrap,http://people.bu.edu/msoren/TreeRot.html,,No,Michael Sorenson,Parsimony programs
TreeSAAP,archived,2003,Java,comparative-methods,http://dna.cs.byu.edu/treesaap/,http://web.archive.org/web/20220618043151/http://dna.cs.byu.edu/treesaap/,Yes,"Steve Woolley , then","Tree visualization, simulation, and other programs"
TreeScan,archived,2005,C,tree-comparison,http://darwin.uvigo.es/software/treescan.html,http://web.archive.org/web/20190308085923/http://darwin.uvigo.es:80/software/treescan.html,Yes,David Posada,"Tree visualization, simulation, and other programs"
TreeSetViz,dormant,2005,Java,tree-visualization,http://comet.lehman.cuny.edu/treeviz/software.html,,No,,"Tree visualization, simulation, and other programs"
TreeSnatcher Plus,unknown,,,tree-visualization,,,No,,"Tree visualization, simulation, and other programs"
TreeStat,dormant,,Java,tree-comparison,http://tree.bio.ed.ac.uk/software/treestat/,,No,Andrew Rambaut,"Tree visualization, simulation, and other programs"
TreeThief,dead,,,tree-visualization,http://microbe.bio.indiana.edu:7131/soft/iubionew/molbio/evolution/phylo/TreeThief/,,No,Andrew Rambaut,"Tree visualization, simulation, and other programs"
TreeTool,archived,,C,tree-visualization,http://iubio.bio.indiana.edu/soft/molbio/unix/treetool,http://web.archive.org/web/20180924162413/http://iubio.bio.indiana.edu:80/soft/molbio/unix/treetool/,Yes,"Mike Maciukenas , then at the Department","Tree visualization, simulation, and other programs"
TreeToy,dormant,,Java,tree-visualization,http://www2.biology.ualberta.ca/jbrzusto/TreeToy.php,,No,John Brzustowski,"Tree visualization, simulation, and other programs"
TreeView,archived,1996,,tree-visualization,http://taxonomy.zoology.gla.ac.uk/rod/treeview.html,http://web.archive.org/web/20180716044134/http://taxonomy.zoology.gla.ac.uk/rod/treeview.html,Yes,Rod Page,"Tree visualization, simulation, and other programs"
Treevolve and PTreevolve,unknown,,,simulation,,,No,,"Tree visualization, simulation, and other programs"
UGENE,archived,,,distance; tree-visualization,http://ugene.unipro.ru,http://web.archive.org/web/20150803004339/http://ugene.unipro.ru/,Yes,The UGENE team,"Tree visualization, simulation, and other programs"
unrooted,archived,,,tree-visualization,http://pbil.univ-lyon1.fr/software/unrooted.html,http://web.archive.org/web/20240228224253/http://pbil.univ-lyon1.fr/software/unrooted.html,Yes,Manolo Gouy,"Tree visualization, simulation, and other programs"
Vanilla,dormant,,Java,bayesian; distance; likelihood; simulation; tree-comparison,http://strimmerlab.org/software/vanilla/index.html,http://web.archive.org/web/20200613230202/http://www.strimmerlab.org:80/software/vanilla/index.html,Yes,Korbinian Strimmer ,Parsimony programs
W2H,archived,,,utility,http://www.w2h.dkfz-heidelberg.de/,http://web.archive.org/web/20220711094113/http://www.w2h.dkfz-heidelberg.de/,Yes,Martin Senger,"Tree visualization, simulation, and other programs"
weighbor,dead,2000,C,distance,http://www.t10.lanl.gov/billb/weighbor/index.html,http://web.archive.org/web/20090114065333/http://www.t10.lanl.gov/billb/weighbor/index.html,Yes,"William J. Bruno, Nicholas D. Socci, and Aaron L. Halpern",Distance matrix and computation programs
Willson quartets programs,unknown,,,quartets,,,No,,Maximum likelihood and Bayesian programs
Winboot,archived,,,bootstrap; distance,http://archive.irri.org/science/software/winboot.asp,http://web.archive.org/web/20110214092429/http://archive.irri.org:80/science/software/winboot.asp,Yes,"Immanuel Yap, now",Distance matrix and computation programs
WINCLADA,dormant,,,tree-visualization,http://www.cladistics.com/about_winc.htm,,No,Kevin Nixon,Parsimony programs
YCDMA,archived,,Visual Basic,distance,http://perso.wanadoo.fr/daniel.montagnon/YCDMAAng.htm,http://web.archive.org/web/20060430172105/http://perso.wanadoo.fr:80/daniel.montagnon/YCDMAAng.htm,Yes,Daniel Montagnon,Distance matrix and computation programs
