Name,Status,Release Year,Programming Language(s),Categories,URL (Original),URL (Wayback Archive),Wayback Preserved,Author,Catalog Section
LDDist,archived,2004,Perl,distance,http://artedi.ebc.uu.se/molev/software/LDDist.html,http://web.archive.org/web/20150302090834/http://artedi.ebc.uu.se:80/molev/software/LDDist.html,Yes,Mikael Thollesson,Distance matrix and computation programs
Leaphy,archived,2007,,likelihood,http://www.bioinf.manchester.ac.uk/leaphy/Leaphy.htm,http://web.archive.org/web/20161013002946/http://www.bioinf.manchester.ac.uk/leaphy/Leaphy.htm,Yes,Simon Whelan,Maximum likelihood and Bayesian programs
LEVEL2,archived,2007,Java,quartets,http://sourceforge.net/projects/level2/,http://web.archive.org/web/20231024213636/https://sourceforge.net/projects/level2/,Yes,"Steven Kelk, Leo van Iersel, Judith Keijsper, and Leen Stougie",Maximum likelihood and Bayesian programs
Likewind,dormant,2002,Perl,recombination,http://rogerlab.biochemistryandmolecularbiology.dal.ca/Software/Software.htm#likewind,,No,John Archibald and Andrew Roger ,"Tree visualization, simulation, and other programs"
Lintre,dormant,1995,C,bootstrap; distance,http://www.kms.ac.jp/~genomelb/takezaki.eng.html#software,,No,Naoko Takezaki,Maximum likelihood and Bayesian programs
LOBSTER,unknown,,,alignment,,,No,,
LVB,archived,,C,bootstrap; parsimony,http://eggg.st-andrews.ac.uk/lvb,http://web.archive.org/web/20230402084635/https://eggg.st-andrews.ac.uk/lvb/,Yes,Daniel Barker,Parsimony programs
Mac5,dormant,,C,likelihood,http://www.agapow.net/software/mac5,,No,"Paul Michael Agapow , then",Maximum likelihood and Bayesian programs
MacClade,dormant,1986,,comparative-methods; simulation; tree-visualization,http://www.macclade.org,,No,"MacClade is a pioneering program for interactive analysis of evolution of a variety of character types, including discrete characters and molecular sequences. It works on Macintoshes with Mac OS X, up to and including now Leopard, Mac OS X version 10.6",Parsimony programs
MacroCAIC,dormant,2002,,comparative-methods; tree-comparison,http://www.bio.ic.ac.uk/evolve/software/macrocaic/index.html,,No,Paul-Michael Agapow,"Tree visualization, simulation, and other programs"
MacT,archived,1992,,distance,http://iubio.bio.indiana.edu/soft/molbio/mac/,http://web.archive.org/web/20180911023019/http://iubio.bio.indiana.edu:80/soft/molbio/mac/,Yes,Angela Lüttke and Rainer Fuchs,Maximum likelihood and Bayesian programs
MacVector,archived,,,distance,http://www.macvector.com,http://web.archive.org/web/20260109073210/https://macvector.com/,Yes,"MacVector, Inc., PMB 150, PO Box 582, 1939 High House Rd., Cary, NC 27519 and PO Box 582, Cambridge, U.K. CB1 0FH",Distance matrix and computation programs
MAFFT,archived,2002,,alignment,http://align.bmr.kyushu-u.ac.jp/mafft/software/,http://web.archive.org/web/20100124160739/http://align.bmr.kyushu-u.ac.jp:80/mafft/software/,Yes,"Kazutaka Katoh, Hiroyuki Toh, K. Kuma, T. Miyata, and K. Misawa",Maximum likelihood and Bayesian programs
MALIGN,dormant,1973,C,alignment; parsimony,http://research.amnh.org/scicomp/projects/malign.php,,No,Ward Wheeler,Maximum likelihood and Bayesian programs
MANTiS,archived,2008,Java,gene-duplication; genomics,http://www.mantisdb.org,http://web.archive.org/web/20251109155507/http://www.mantisdb.org/,Yes,"Athanasia C. Tzika, Raphaël Helaers, and Michel Milinkovitch",Maximum likelihood and Bayesian programs
MAPPS,dormant,2002,,model-selection,http://www.simmap.com/bollback/software.html,,No,Jonathan Bollback,Maximum likelihood and Bayesian programs
Mavric,dormant,,Python,tree-visualization,http://www.bioinformatics.org/mavric/index.html,,No,Richard H. Ree,"Tree visualization, simulation, and other programs"
MBEToolbox,dormant,2005,Matlab,utility,http://bioinformatics.org/mbetoolbox/,,No,James J. Cai,"Tree visualization, simulation, and other programs"
McRate,dormant,2004,,clock-dating; likelihood,http://www.tau.ac.il/~talp/MCMC/McRate.html,,No,Itay Mayrose and Tal Pupko,Maximum likelihood and Bayesian programs
MEGA,archived,1993,,bootstrap; clock-dating; consensus; distance; general-purpose; parsimony; tree-visualization,http://www.megasoftware.net,http://web.archive.org/web/20260207095133/https://www.megasoftware.net/,Yes,,Parsimony programs
MESA,dormant,,,comparative-methods; simulation; tree-comparison; tree-visualization,http://www.agapow.net/software/mesa,,No,Paul Michael Agapow,"Tree visualization, simulation, and other programs"
Mesquite,dormant,2004,Java,bayesian; bootstrap; comparative-methods; consensus; general-purpose; likelihood; parsimony; simulation; tree-visualization,http://mesquiteproject.org,,No,Wayne Maddison,Parsimony programs
MetaPIGA,dormant,2001,Java,general-purpose; likelihood,http://www.metapiga.org,,No,Alan R. Lemmon ,"Tree visualization, simulation, and other programs"
METREE,archived,1992,,distance,http://iubio.bio.indiana.edu/soft/molbio/ibmpc/,http://web.archive.org/web/20180927223425/http://iubio.bio.indiana.edu:80/soft/molbio/ibmpc/,Yes,Andrey Rzhetsky,Distance matrix and computation programs
Mgenome,archived,2003,,gene-duplication; genomics,http://xungulab.com/publications/wuS03PSB.pdf,http://web.archive.org/web/20160826005953/http://xungulab.com/publications/wuS03PSB.pdf,Yes,Xun Gu,Maximum likelihood and Bayesian programs
Microsat,archived,1995,C,distance,http://hpgl.stanford.edu/projects/microsat/,http://web.archive.org/web/20120209022355/http://hpgl.stanford.edu/projects/microsat/,Yes,"Microsat versiobn 1.5, by Eric Minch, then","Tree visualization, simulation, and other programs"
MINSPNET,archived,,,distance,http://cmpg.unibe.ch/software.htm,http://web.archive.org/web/20100116095420/http://cmpg.unibe.ch:80/software.htm,Yes,Laurent Excoffier,Distance matrix and computation programs
MixtureTree,dead,2006,C,bootstrap; likelihood; tree-visualization,http://www.mixturetree.net/download.html,,No,Shu-chuan,Maximum likelihood and Bayesian programs
Modelfit,dormant,,Perl,likelihood; model-selection,http://www.abc.se/~nylander/,,No,Johan Nylander,Maximum likelihood and Bayesian programs
ModelGenerator,dead,2006,Java,bootstrap; likelihood; model-selection,http://bioinf.may.ie/modelgenerator/,,No,Thomas Keane,Maximum likelihood and Bayesian programs
Modeltest,archived,1998,,bootstrap; clock-dating; likelihood; model-selection,http://darwin.uvigo.es/software/modeltest.html,http://web.archive.org/web/20120620100525/http://darwin.uvigo.es/software/modeltest.html,Yes,David Posada,Maximum likelihood and Bayesian programs
MOLPHY,dormant,,C,likelihood,http://www.ism.ac.jp/ismlib/softother.e.html,,No,,Maximum likelihood and Bayesian programs
MP-EST,dormant,,,general-purpose,http://code.google.com/p/mp-est/,,No,,
MrAIC,dormant,,Perl,likelihood; model-selection,http://www.abc.se/~nylander/,,No,Johan Nylander,Maximum likelihood and Bayesian programs
MrBayes,archived,2001,,bayesian; bootstrap,http://mrbayes.net,,No,John Huelsenbeck,Maximum likelihood and Bayesian programs
MrBayes tree scanners,unknown,,,bayesian; bootstrap,,,No,,Maximum likelihood and Bayesian programs
MrBayesPlugin,archived,,Java,bayesian,http://www.biomath.ucla.edu/msuchard/software/software.htm,http://web.archive.org/web/20100706192155/http://www.biomath.ucla.edu/msuchard/software/software.htm,Yes,Marc Suchard,Maximum likelihood and Bayesian programs
MrEnt,dormant,,,tree-visualization,http://www.mrent.org,,No,Alessandro Zuccon and Dario Zuccon,"Tree visualization, simulation, and other programs"
MrModeltest,dormant,,,bootstrap; clock-dating; likelihood; model-selection,http://www.abc.se/~nylander/,,No,Johan Nylander,Maximum likelihood and Bayesian programs
MrMTgui,archived,,,bootstrap; clock-dating; likelihood; model-selection,http://genedrift.org/mtgui.php,http://web.archive.org/web/20110817031754/http://genedrift.org/mtgui.php,Yes,Paulo Nuin,Maximum likelihood and Bayesian programs
MSA,dormant,2003,,distance,http://i122server.vu-wien.ac.at/MSA/MSA_download.html,,No,Daniel Dieringer,"Tree visualization, simulation, and other programs"
MULTICOMP,dead,1994,C,distance,http://www.emi.unsw.edu.au/~lanlab/public/multicomp/download.htm,http://web.archive.org/web/20150805110026/http://www.emi.unsw.edu.au:80/~lanlab/public/multicomp/download.htm,Yes,"Peter Reeves, L. Farnell, and Ruiting Lan , then","Tree visualization, simulation, and other programs"
Multidivtime,archived,1998,C,bayesian; clock-dating,http://statgen.ncsu.edu/thorne/multidivtime.html,http://web.archive.org/web/20170812171517/http://statgen.ncsu.edu:80/thorne/multidivtime.html,Yes,Jeff Thorne,"Tree visualization, simulation, and other programs"
MultiPhyl,archived,2005,Java,bootstrap; likelihood,http://distributed.cs.nuim.ie/downloads.php,http://web.archive.org/web/20101102132723/http://distributed.cs.nuim.ie:80/downloads.php,Yes,"T. M. Keane, T.J. Naughton, S.A.A. Travers, J.O. McInerney, and G.P. McCormack",Maximum likelihood and Bayesian programs
Murka,dead,,,clock-dating; compatibility; consensus; distance; parsimony,http://phylomurka.sourceforge.net,,No,Valery Zaporozhchenko,Parsimony programs
MUSCLE,dormant,2004,,alignment,http://www.drive5.com/muscle/,,No,Robert Edgar,Maximum likelihood and Bayesian programs
MUST,dormant,1993,,utility,http://megasun.bch.umontreal.ca/Software/HPLab/must/must.html,,No,"MUST , version 5.15, a package of sequence management programs, was developed by Hervé Philippe","Tree visualization, simulation, and other programs"
MVSP,archived,,,distance,http://www.kovcomp.com/mvsp/,http://web.archive.org/web/20151003021033/http://www.kovcomp.com:80/mvsp/,Yes,Warren Kovach,Distance matrix and computation programs
NEPAL,dormant,2006,,likelihood,http://bioinfo.cs.rice.edu/nepal/index.html,,No,Guohua Jin and Luay Nakhleh,Maximum likelihood and Bayesian programs
NetRecodon,archived,2010,C,simulation,http://darwin.uvigo.es/software/netrecodon.html,http://web.archive.org/web/20120620100507/http://darwin.uvigo.es/software/netrecodon.html,Yes,Miguel Arenas and David Posada,"Tree visualization, simulation, and other programs"
Network,dormant,1995,,clock-dating; network; parsimony; recombination; simulation,http://www.fluxus-engineering.com/sharenet.htm,,No,"Arne Röhl, Peter Forster, and Hans-Jürgen Bandelt",Maximum likelihood and Bayesian programs
NHML,archived,1998,C,clock-dating; likelihood,http://162.38.181.1/nhml/nhml.html,http://web.archive.org/web/20080318205634/http://162.38.181.1:80/nhml/nhml.html,Yes,Nicolas Galtier and Manolo Gouy,"Tree visualization, simulation, and other programs"
nhPhyML,archived,1998,C,likelihood,http://pbil.univ-lyon1.fr/software/nhphyml/,http://web.archive.org/web/20230411011555/https://pbil.univ-lyon1.fr/software/nhphyml/,Yes,Bastien Boussau,Maximum likelihood and Bayesian programs
NimbleTree,archived,,,distance; likelihood; parsimony; utility,http://sray.med.som.jhmi.edu/SCRoftware/nimbletree/,http://web.archive.org/web/20260101093504/https://sray.med.som.jhmi.edu/SCRoftware/NimbleTree/,Yes,Stuart Ray,"Tree visualization, simulation, and other programs"
NINJA,archived,2009,Java,distance,http://nimbletwist.com/software/ninja/,http://web.archive.org/web/20210619112808/http://nimbletwist.com/software/ninja/,Yes,Travis Wheeler,Distance matrix and computation programs
NJplot,archived,1996,,tree-visualization,http://pbil.univ-lyon1.fr/software/njplot.html,http://web.archive.org/web/20130511210254/http://pbil.univ-lyon1.fr/software/njplot.html,Yes,Manolo Gouy,"Tree visualization, simulation, and other programs"
nneighbor,archived,,C,distance,http://www.t10.lanl.gov/billb/related_links.html,http://web.archive.org/web/20090114064631/http://www.t10.lanl.gov/billb/related_links.html,Yes,William J. Bruno,Distance matrix and computation programs
NONA,dormant,1993,,parsimony,http://www.cladistics.com/aboutNona.htm,,No,Pablo Goloboff,Parsimony programs
Notung,dormant,2005,Java,gene-duplication; genomics; parsimony; tree-visualization,http://www.cs.cmu.edu/~durand/Notung/,,No,"Benjamin Vernot, Aiton Goldman and Dannie Dur",Maximum likelihood and Bayesian programs
NSA,archived,,Visual Basic,distance,http://perso.wanadoo.fr/daniel.montagnon/NSAAng.htm,http://web.archive.org/web/20050912193534/http://perso.wanadoo.fr:80/daniel.montagnon/NSAAng.htm,Yes,Daniel Montagnon,Distance matrix and computation programs
NTSYSpc,archived,,,consensus; distance,http://www.exetersoftware.com/cat/ntsyspc/ntsyspc.html,http://web.archive.org/web/20200222003735/http://exetersoftware.com:80/cat/ntsyspc/ntsyspc.html,Yes,F. James Rohlf has written NTSYSpc,Distance matrix and computation programs
ODEN,unknown,1994,C,distance,,,No,Yasuo Ina,Maximum likelihood and Bayesian programs
OSA,unknown,1995,Pascal,bootstrap; distance,,,No,"María Jesús Martín and Joaquín Dopazo , then",Distance matrix and computation programs
OUCH,archived,2004,R,comparative-methods,http://tsuga.biology.lsa.umich.edu/king/ouch/,http://web.archive.org/web/20090106135835/http://tsuga.biology.lsa.umich.edu:80/king/ouch/,Yes,Aaron King and Marguerite Butler,"Tree visualization, simulation, and other programs"
p4,archived,,Python,bayesian; likelihood,http://www.bmnh.org/web_users/pf/p4.html,http://web.archive.org/web/20140530082214/http://www.bmnh.org:80/web_users/pf/p4.html,Yes,Peter Foster,Maximum likelihood and Bayesian programs
PAL,dead,2001,Java,bayesian; bootstrap; clock-dating; distance; general-purpose; likelihood; simulation; tree-comparison,http://www.cebl.auckland.ac.nz/pal-project/,http://web.archive.org/web/20140609211424/http://www.cebl.auckland.ac.nz:80/pal-project/,Yes,"Matthew Goode , Alexei Drummond, Ed Buckler, and Korbinian Strimmer, together with seven other contributors, have released PAL",Parsimony programs
Paloverde,archived,,C,tree-visualization,http://loco.biosci.arizona.edu/paloverde/paloverde.html,http://web.archive.org/web/20160131094028/http://loco.biosci.arizona.edu/paloverde/paloverde.html,Yes,Mike Sanderson,"Tree visualization, simulation, and other programs"
PAML,archived,1997,C,bayesian; clock-dating; distance; likelihood; simulation,http://abacus.gene.ucl.ac.uk/software/paml.html,http://web.archive.org/web/20250709145258/http://abacus.gene.ucl.ac.uk/software/paml.html,Yes,Ziheng Yang,Maximum likelihood and Bayesian programs
ParaFit,archived,2002,Fortran,biogeography; host-parasite,http://www.bio.umontreal.ca/casgrain/en/labo/parafit.html,http://web.archive.org/web/20120402050104/http://www.bio.umontreal.ca/casgrain/en/labo/parafit.html,Yes,Pierre Legendre,Maximum likelihood and Bayesian programs
PARAT,dormant,2003,C,likelihood,http://www.cibiv.at/software/parat/,,No,"Sonja Meyer and Arndt von Haeseler, then",Maximum likelihood and Bayesian programs
PARBOOT,dead,,C; Perl,bootstrap; likelihood; utility,http://microbe.bio.indiana.edu:7131/soft/iubionew/molbio/evolution/phylo/ParBoot/,,No,"Pierre Rioux and Tim Littlejohn , then",Maximum likelihood and Bayesian programs
Parsimov,archived,2005,Perl,comparative-methods; parsimony,http://www.uni-oldenburg.de/molekularesystematik/en/34011.html#EvoDevo,http://web.archive.org/web/20090120142210/http://www.uni-oldenburg.de:80/molekularesystematik/en/34011.html,Yes,Jon Jeffery,Parsimony programs
partimatrix,archived,1997,C,compatibility; recombination,http://www.cecalc.ula.ve/BIOINFO/servicios/herr1/PARTIMATRIX/manual.htm,http://web.archive.org/web/20180306190658/http://www.cecalc.ula.ve:80/BIOINFO/servicios/herr1/PARTIMATRIX/manual.htm,Yes,"Ingrid Jakobsen , Susan Wilson, and Simon Easteal",Maximum likelihood and Bayesian programs
PASSML,dormant,1998,C,likelihood,http://www.ebi.ac.uk/goldman/hmm/passml.html,,No,Pietro Liò,Maximum likelihood and Bayesian programs
PAST,dormant,2001,,bootstrap; clock-dating; consensus; parsimony,http://palaeo-electronica.org/2001_1/past/issue1_01.htm,,No,Øyvind Hammer ,"Tree visualization, simulation, and other programs"
PATHd8,archived,2002,C,clock-dating,http://www.math.su.se/PATHd8/index.html,http://web.archive.org/web/20250328025930/https://www2.math.su.se/PATHd8/index.html,Yes,"Tom Britton, Cajsa Anderson, David Jacquet, Samuel Lundqvist, and Kåre Bremer","Tree visualization, simulation, and other programs"
PAUP*,dormant,1993,,bootstrap; consensus; distance; general-purpose; likelihood; parsimony; tree-visualization,http://paup.csit.fsu.edu/,,No,David Swofford,Parsimony programs
PAUPRat,archived,,,likelihood; parsimony,http://users.iab.uaf.edu/~derek_sikes/software2.htm,http://web.archive.org/web/20120708013205/http://users.iab.uaf.edu/~derek_sikes/software2.htm,Yes,Derek Sikes,Parsimony programs
PaupUp,archived,,,bootstrap; consensus; distance; general-purpose; likelihood; parsimony; tree-visualization,http://www.agro-montpellier.fr/sppe/Recherche/JFM/PaupUp/,http://web.archive.org/web/20180912134345/http://www.agro-montpellier.fr:80/sppe/Recherche/JFM/PaupUp/,Yes,Frédéric Calendini and Jean-Francois Martin,Parsimony programs
PC-ORD,archived,,,distance,http://home.centurytel.net/~mjm/pcordwin.htm,http://web.archive.org/web/20150325104429/http://home.centurytel.net:80/~mjm/pcordwin.htm,Yes,B. McCune and M. J. Mefford,Distance matrix and computation programs
pcca,archived,2008,,comparative-methods,http://anolis.oeb.harvard.edu/~liam/programs/,http://web.archive.org/web/20120103201739/http://anolis.oeb.harvard.edu:80/~liam/programs/,Yes,Liam Revell,"Tree visualization, simulation, and other programs"
PDAP,archived,1993,,comparative-methods; tree-visualization,http://www.biology.ucr.edu/people/faculty/Garland/PDAP.html,http://web.archive.org/web/20231207030222/https://biology.ucr.edu/people/faculty/Garland/PDAP.html,Yes,"Theodore Garland, Jr. ","Tree visualization, simulation, and other programs"
PEBBLE,unknown,,Java,clock-dating; distance,,,No,,Distance matrix and computation programs
Permute!,archived,,,bootstrap; comparative-methods,http://www.bio.umontreal.ca/casgrain/en/labo/permute/index.html,http://web.archive.org/web/20120402035653/http://www.bio.umontreal.ca/casgrain/en/labo/permute/index.html,Yes,Philippe Casgrain,Distance matrix and computation programs
phangorn,archived,2011,R,consensus; distance; general-purpose; likelihood; parsimony,http://cran.r-project.org/web/packages/phangorn/index.html,,No,"Klaus Schliep , then at Massey University, Palmerston North, New Zeal","Tree visualization, simulation, and other programs"
PHASE,archived,2002,,bayesian; bootstrap,http://www.bioinf.man.ac.uk/resources/phase/,http://web.archive.org/web/20250110110831/http://www.bioinf.man.ac.uk/resources/phase/,Yes,Vivek Gowri-Shankar and Howsun Jow,Maximum likelihood and Bayesian programs
Phybase,dead,2010,R,comparative-methods; compatibility; consensus; tree-visualization,http://cars.desu.edu/faculty/lliu/research/phybase.html,,No,Liang Liu and Lili Yu,"Tree visualization, simulation, and other programs"
PhyD*,dormant,,,general-purpose,http://www.atgc-montpellier.fr/phyd/,,No,,
PHYDIT,archived,,,sequence-editing; utility,http://plaza.snu.ac.kr/~jchun/phydit/,http://web.archive.org/web/20110819234856/http://plaza.snu.ac.kr:80/~jchun/phydit/,Yes,Jongsik Chun,"Tree visualization, simulation, and other programs"
Phylap,archived,,Java,teaching,http://babbage.clarku.edu/~djoyce/java/Phyltree/cover.html,http://web.archive.org/web/20060911214805/http://babbage.clarku.edu/~djoyce/java/Phyltree/cover.html,Yes,David Joyce,"Tree visualization, simulation, and other programs"
Phyledit,archived,,,sequence-editing; utility,http://perso.wanadoo.es/jjdeharo/phyledit/index.htm,http://web.archive.org/web/20190707052124/http://perso.wanadoo.es:80/jjdeharo/phyledit/index.htm,Yes,Juan José de Haro,"Tree visualization, simulation, and other programs"
PHYLIP,dormant,1980,C,bootstrap; clock-dating; comparative-methods; compatibility; consensus; distance; general-purpose; likelihood; parsimony; tree-visualization,http://evolution.gs.washington.edu/phylip.html,,No,,Parsimony programs
PHYLLAB,dormant,,Matlab,bayesian; bootstrap; likelihood; tree-visualization,http://amdec-bioinfo.cu-genome.org/html/misc/Pavel/phyllab.html,,No,Pavel Morozov and Andrey Rzhetsky,Maximum likelihood and Bayesian programs
Phylo_win,dead,1995,C,bootstrap; distance; general-purpose; likelihood; parsimony,http://pbil.univ-lyon1.fr/software/phylowin_legacy.html,http://web.archive.org/web/20240521112547/http://pbil.univ-lyon1.fr/software/phylowin_legacy.html,Yes,Nicholas Galtier,Maximum likelihood and Bayesian programs
phylobase,archived,,R,general-purpose,http://cran.r-project.org/web/packages/phylobase/index.html,,No,,
PhyloBayes,dormant,2004,,bayesian; bootstrap; clock-dating,http://www.atgc-montpellier.fr/phylobayes/binaries.php,,No,Nicolas Lartillot,Maximum likelihood and Bayesian programs
PhyloCoCo,archived,2007,Java,likelihood,http://homepages.ulb.ac.be/~dacatanz/Site/PhyloCoco.html,http://web.archive.org/web/20110808205252/http://homepages.ulb.ac.be/~dacatanz/Site/PhyloCoco.html,Yes,Daniele Catanzaro,Maximum likelihood and Bayesian programs
Phylocom,dormant,,,biogeography; comparative-methods; tree-visualization,http://www.phylodiversity.net/phylocom/,,No,"Campbell Webb, David Ackerley, and Steven Kembel","Tree visualization, simulation, and other programs"
Phylodendron,archived,1990,Java,tree-visualization,http://iubio.bio.indiana.edu/soft/molbio/java/apps/trees/,http://web.archive.org/web/20190217163057/http://iubio.bio.indiana.edu:80/soft/molbio/java/apps/trees/,Yes,Don Gilbert,"Tree visualization, simulation, and other programs"
Phylogen,unknown,,,simulation,,,No,,"Tree visualization, simulation, and other programs"
Phylogenetic Independence,unknown,,,comparative-methods,,,No,,"Tree visualization, simulation, and other programs"
Phylogenetic Investigator,archived,1996,,teaching,http://bioquest.org/BQLibrary/library_details.php?product_id=22909,http://web.archive.org/web/20211025022017/https://bioquest.org/BQLibrary/library_details.php?product_id=22909,Yes,Steven Brewer,"Tree visualization, simulation, and other programs"
Phylogenetic Tree Drawing,unknown,,,tree-visualization,,,No,,"Tree visualization, simulation, and other programs"
PHYLOGR,archived,,R,comparative-methods,http://cran.r-project.org/web/packages/PHYLOGR/index.html,,No,Ramón Díaz-Uriarte,"Tree visualization, simulation, and other programs"
PhyloNet,dormant,2008,Java,bootstrap; parsimony; recombination,http://bioinfo.cs.rice.edu/phylonet/index.html,,No,"Luay Nakhleh, Derek Ruths, and Cuong Than",Maximum likelihood and Bayesian programs
PhyloQuart,dormant,2000,C,quartets,http://www.lirmm.fr/~vberry/PHYLOQUART/phyloquart.html,,No,Vincent Berry,Maximum likelihood and Bayesian programs
PhyloSort,archived,2008,Java,consensus,http://phylosort.sourceforge.net/,http://web.archive.org/web/20251206024800/https://phylosort.sourceforge.net/,Yes,"Ahmed Moustafa , then","Tree visualization, simulation, and other programs"
PhyloWidget,dormant,2008,Java,tree-visualization,http://www.phylowidget.org/,,No,Gregory Jordan,"Tree visualization, simulation, and other programs"
PHYLTEST,archived,1992,,bootstrap; clock-dating; distance; quartets,http://iubio.bio.indiana.edu/soft/molbio/ibmpc/,http://web.archive.org/web/20180927223425/http://iubio.bio.indiana.edu:80/soft/molbio/ibmpc/,Yes,Sudhir Kumar,Distance matrix and computation programs
Phyltools,unknown,,,bootstrap; distance,,,No,,Distance matrix and computation programs
PHYML,dormant,2003,,bootstrap; likelihood,http://www.atgc-montpellier.fr/phyml/binaries.php,,No,Stéphane Guindon,Maximum likelihood and Bayesian programs
PhyML-mixtures,dormant,,,general-purpose,http://www.atgc-montpellier.fr/models/index.php?model=mixture,,No,a PhyML version for mixture of amino acid models,
PhyML-Multi,archived,2009,C,likelihood; recombination,http://pbil.univ-lyon1.fr/software/phyml_multi/,http://web.archive.org/web/20220707094833/http://pbil.univ-lyon1.fr/software/phyml_multi/,Yes,Bastien Boussau,Maximum likelihood and Bayesian programs
PhyNav,dormant,2004,,consensus; likelihood,http://www.cibiv.at/software/phynav/,,No,Le Sy Vinh,Maximum likelihood and Bayesian programs
PhyRe,dormant,2010,Python,tree-comparison,http://www.mozoolab.net/index.php/software-download.html,,No,"Federico Plazzi, Ronald Robert Ferrucci, and Marco Passamonti","Tree visualization, simulation, and other programs"
PhySIC_IST,unknown,,,consensus,,,No,,"Tree visualization, simulation, and other programs"
PHYSIG,dormant,2003,Matlab,comparative-methods; likelihood,http://biology.ucr.edu/people/faculty/Garland/PHYSIG.html,,No,Ted Garl,"Tree visualization, simulation, and other programs"
Phyutility,dormant,2008,Java,bootstrap; consensus; tree-comparison; tree-visualization,http://code.google.com/p/phyutility/,,No,Stephen A. Smith and Casey W. Dunn ,"Tree visualization, simulation, and other programs"
PICA,archived,,,bootstrap; compatibility; quartets,http://www.nhm.ac.uk/research-curation/projects/software/mwphylogeny.html,http://web.archive.org/web/20080627173532/http://www.nhm.ac.uk:80/research-curation/projects/software/mwphylogeny.html,Yes,Mark Wilkinson,"Tree visualization, simulation, and other programs"
PISE,archived,2001,Perl,utility,http://www.pasteur.fr/recherche/unites/sis/Pise/,http://web.archive.org/web/20151226070143/http://www.pasteur.fr/recherche/unites/sis/Pise/,Yes,Catherine Letondal,"Tree visualization, simulation, and other programs"
PLATO,dead,1997,,likelihood; recombination,http://microbe.bio.indiana.edu:7131/soft/iubionew/molbio/dna/analysis/Plato/,,No,Nick Grassly ,Maximum likelihood and Bayesian programs
POPGENE,dormant,,,distance; population-genetics,http://www.ualberta.ca/~fyeh/index.htm,,No,Francis Yeh,Distance matrix and computation programs
POPTREE2,unknown,,,bootstrap; distance; tree-visualization,,,No,,Distance matrix and computation programs
Populations,unknown,,,bootstrap; distance; population-genetics,,,No,Olivier Langella,Distance matrix and computation programs
Porn*,archived,,Python,bootstrap; clock-dating; likelihood; model-selection,http://www.phylodiversity.net/cbell/pornstar/,http://web.archive.org/web/20201201113702/http://phylodiversity.net/cbell/pornstar/,Yes,Charles Bell,Maximum likelihood and Bayesian programs
POY,dormant,1999,C,alignment; parsimony,http://research.amnh.org/scicomp/projects/poy.php,,No,Ward Wheeler,Maximum likelihood and Bayesian programs
PPH,archived,2002,Perl,compatibility; recombination,http://wwwcsif.cs.ucdavis.edu/~gusfield/pph.html,http://web.archive.org/web/20100610021044/http://wwwcsif.cs.ucdavis.edu/~gusfield/pph.html,Yes,Dan Gusfield,Maximum likelihood and Bayesian programs
PRAP,archived,2004,Java,bootstrap; likelihood; parsimony,http://systevol.nees.uni-bonn.de/software,http://web.archive.org/web/20090421065343/http://systevol.nees.uni-bonn.de:80/software,Yes,Kai Müller,Parsimony programs
PROCOV,dormant,2007,C,likelihood,http://www.mathstat.dal.ca/~hcwang/procov.html,,No,"Haichun Wang, Matthew Spencer, Ed Susko, and Andrew Roger",Maximum likelihood and Bayesian programs
ProfDist,dormant,2004,,distance,http://profdist.bioapps.biozentrum.uni-wuerzburg.de/,,No,"Joachim Friedrich, Thomas Dandekar, Matthias Wolf, and Tobias Müller",Distance matrix and computation programs
ProSeq,archived,2002,,sequence-editing; simulation,http://dps.plants.ox.ac.uk/sequencing/proseq.htm,http://web.archive.org/web/20180124003659/http://dps.plants.ox.ac.uk:80/sequencing/proseq.htm,Yes,Dmitry Filatov ,"Tree visualization, simulation, and other programs"
ProtTest,archived,2005,Java,bootstrap; likelihood; model-selection,http://darwin.uvigo.es/software/prottest.html,http://web.archive.org/web/20190228161039/http://darwin.uvigo.es:80/software/prottest.html,Yes,David Posada,Maximum likelihood and Bayesian programs
PSeq-Gen,dead,,,simulation,http://iubio.bio.indiana.edu/soft/iubionew/molbio/evolution/phylo/PSeq-Gen/main.html,,No,Nick Grassly,"Tree visualization, simulation, and other programs"
PSODA,dormant,,,parsimony,http://dna.cs.byu.edu/psoda/,,No,"Quinn Snell, Mark Clement, and Hyrum Carroll",Parsimony programs
PTP,unknown,,,distance; general-purpose; likelihood,,,No,Oclair Prado,"Tree visualization, simulation, and other programs"
puzzleboot,dormant,,,bootstrap; distance,http://rogerlab.biochemistryandmolecularbiology.dal.ca/Software/Software.htm#puzzleboot,,No,"Mike Holder , formerly",Maximum likelihood and Bayesian programs
PyCogent,archived,2007,C; Python,utility,http://pycogent.sourceforge.net/,http://web.archive.org/web/20221106104158/https://pycogent.sourceforge.net/,Yes,"Gavin Huttley, Rob Knight, PyCogent Development Team",Parsimony programs
qclust,archived,,C; Java,distance,http://www.biology.ualberta.ca/jbrzusto/dosclust.html,http://web.archive.org/web/20250910164418/http://www.biology.ualberta.ca/jbrzusto/dosclust.html,Yes,John Brzustowski ,Distance matrix and computation programs
QDate,unknown,1998,C,clock-dating,,,No,Andrew Rambaut,"Tree visualization, simulation, and other programs"
